,date,AAPL,JPM,XOM,F,LMT
193,2021-10-21,149.48,169.5,62.69,16.55,373.14
194,2021-10-22,148.69,171.78,63.12,16.28,374.6
195,2021-10-25,148.64,170.94,64.35,16.0,376.33
196,2021-10-26,149.32,171.4,65.84,15.94,331.91
197,2021-10-27,148.85,167.83,64.13,15.51,330.94
198,2021-10-28,152.57,170.36,64.31,16.86,331.39
199,2021-10-29,149.8,169.89,64.47,17.08,332.32
200,2021-11-01,148.96,169.8,65.63,17.95,330.93
201,2021-11-02,150.02,170.47,64.82,18.01,326.31
202,2021-11-03,151.49,170.53,63.93,18.63,331.35
203,2021-11-04,150.96,168.29,64.41,19.42,335.5
204,2021-11-05,151.28,168.05,65.02,19.29,339.89
205,2021-11-08,150.44,169.06,65.72,20.15,341.78
206,2021-11-09,150.81,167.78,66.36,20.12,338.17
207,2021-11-10,147.92,167.62,64.19,19.36,337.63
208,2021-11-11,147.87,167.61,64.31,19.55,335.89
209,2021-11-12,149.99,166.86,63.82,19.5,339.06
210,2021-11-15,150.0,166.56,64.37,19.86,340.92
211,2021-11-16,151.0,165.36,65.02,19.79,340.37
212,2021-11-17,153.49,164.47,64.31,19.96,341.99
213,2021-11-18,157.87,163.05,63.61,19.56,342.08
214,2021-11-19,160.55,160.92,60.67,19.39,341.44
215,2021-11-22,161.02,164.35,61.51,20.48,344.98
216,2021-11-23,161.41,168.28,63.13,20.2,345.18
217,2021-11-24,161.94,166.96,63.48,20.25,343.58
218,2021-11-26,156.81,161.93,61.25,19.75,342.72
219,2021-11-29,160.24,161.23,61.59,19.67,341.23
220,2021-11-30,165.3,158.83,59.84,19.19,333.32
221,2021-12-01,164.77,157.89,59.79,19.58,328.42
222,2021-12-02,163.76,161.21,61.28,19.87,330.53
223,2021-12-03,161.84,158.29,60.89,19.14,333.81
224,2021-12-06,165.32,160.16,61.58,19.22,339.96
225,2021-12-07,171.18,162.57,62.27,19.96,339.17
226,2021-12-08,175.08,160.71,62.45,19.81,341.08
227,2021-12-09,174.56,160.46,62.61,19.57,343.6
228,2021-12-10,179.45,159.82,63.01,21.45,344.88
229,2021-12-13,175.74,157.92,61.63,20.43,345.55
230,2021-12-14,174.33,159.13,61.54,20.05,345.64
231,2021-12-15,179.3,157.94,61.27,20.19,344.42
232,2021-12-16,172.26,160.41,61.37,20.35,344.84
233,2021-12-17,171.14,156.76,60.03,19.77,344.14
234,2021-12-20,169.75,153.94,59.16,19.42,337.42
235,2021-12-21,172.99,156.09,60.5,19.61,340.77
236,2021-12-22,175.64,156.7,60.99,20.14,343.14
237,2021-12-23,176.28,157.26,61.02,20.25,347.02
238,2021-12-27,180.33,158.16,61.89,20.8,350.28
239,2021-12-28,179.29,158.64,61.69,20.76,353.75
240,2021-12-29,179.38,158.56,61.15,20.56,354.27
241,2021-12-30,178.2,158.48,60.79,20.47,353.58
242,2021-12-31,177.57,158.35,61.19,20.77,355.41
243,2022-01-03,182.01,161.7,63.54,21.77,354.36
244,2022-01-04,179.7,167.83,65.93,24.31,361.99
245,2022-01-05,174.92,163.78,66.75,23.66,358.14
246,2022-01-06,172.0,165.52,68.32,24.46,358.0
247,2022-01-07,172.17,167.16,68.88,24.44,360.14
248,2022-01-10,172.19,167.32,68.47,23.85,363.25
249,2022-01-11,175.08,167.49,71.35,24.35,364.14
250,2022-01-12,175.53,168.44,71.14,24.47,361.3
251,2022-01-13,172.19,168.23,70.63,25.02,365.18
252,2022-01-14,173.07,157.89,71.87,25.19,372.62
253,2022-01-18,169.8,151.27,73.08,24.38,376.54
254,2022-01-19,166.23,148.93,73.11,22.45,377.33
255,2022-01-20,164.51,147.66,73.27,21.65,375.13
256,2022-01-21,162.41,145.08,72.17,20.65,371.2
257,2022-01-24,161.62,144.95,72.79,20.39,373.33
258,2022-01-25,159.78,146.53,74.93,19.98,387.17
259,2022-01-26,159.69,147.92,74.17,19.91,391.24
260,2022-01-27,159.22,145.31,75.12,19.55,389.08
261,2022-01-28,170.33,146.61,75.28,19.54,393.15
262,2022-01-31,174.78,148.6,75.96,20.3,389.13
263,2022-02-01,174.61,151.15,80.83,20.66,387.01
264,2022-02-02,175.84,149.94,80.62,20.63,387.34
265,2022-02-03,172.9,148.7,79.68,19.89,389.7
266,2022-02-04,172.39,152.56,81.41,17.96,389.33
267,2022-02-07,171.66,153.07,82.39,17.89,392.34
268,2022-02-08,174.83,155.95,80.26,17.72,396.04
269,2022-02-09,176.28,156.6,79.0,18.35,394.54
270,2022-02-10,172.12,155.95,78.24,18.08,385.43
271,2022-02-11,168.64,153.92,80.21,17.55,396.19
272,2022-02-14,168.88,152.49,78.98,17.46,386.97
273,2022-02-15,172.79,154.72,77.99,18.08,382.22
274,2022-02-16,172.55,155.0,78.35,18.01,386.9
275,2022-02-17,168.88,151.43,78.23,17.54,388.77
276,2022-02-18,167.3,152.14,77.36,18.04,386.46
277,2022-02-22,164.32,151.87,76.46,17.29,386.2
278,2022-02-23,160.07,148.69,76.77,16.95,388.9
279,2022-02-24,162.74,144.55,75.8,17.15,395.71
280,2022-02-25,164.85,147.97,77.84,17.83,409.49
281,2022-02-28,165.12,141.8,78.42,17.56,433.8
282,2022-03-01,163.2,136.45,79.17,16.7,456.61
283,2022-03-02,166.56,139.28,80.53,18.1,450.0
284,2022-03-03,166.23,138.29,81.04,17.6,447.82
285,2022-03-04,163.17,134.4,84.09,16.85,458.15
286,2022-03-07,159.3,129.21,87.12,15.97,466.15
287,2022-03-08,157.44,128.3,87.78,16.03,448.99
288,2022-03-09,162.95,133.44,82.79,16.37,448.72
289,2022-03-10,158.52,131.86,85.36,16.33,444.36
290,2022-03-11,154.73,128.89,84.92,16.04,439.04
291,2022-03-14,150.62,130.17,81.88,15.74,444.45
292,2022-03-15,155.09,132.48,77.22,16.06,448.67
293,2022-03-16,159.59,138.4,76.93,16.58,421.34
294,2022-03-17,160.62,140.15,78.98,16.58,428.59
295,2022-03-18,163.98,140.1,78.67,16.86,426.18
296,2022-03-21,165.38,139.65,82.2,16.48,440.0
297,2022-03-22,168.82,142.62,81.84,17.09,440.59
298,2022-03-23,170.21,139.78,83.13,16.68,445.25
299,2022-03-24,174.07,140.69,83.38,16.83,449.73
300,2022-03-25,174.72,141.92,85.2,16.47,453.66
301,2022-03-28,175.6,140.87,82.81,16.67,444.98
302,2022-03-29,178.96,141.18,82.37,17.75,437.15
303,2022-03-30,177.77,140.54,83.78,17.27,445.95
304,2022-03-31,174.61,136.32,82.59,16.91,441.4
305,2022-04-01,174.31,135.31,83.12,16.65,445.98
306,2022-04-04,178.44,135.91,83.16,16.66,444.01
307,2022-04-05,175.06,133.34,82.73,15.82,447.24
308,2022-04-06,171.83,131.49,83.65,15.39,454.58
309,2022-04-07,172.14,131.09,85.05,14.96,465.51
310,2022-04-08,170.09,133.49,86.84,15.05,461.52
311,2022-04-11,165.75,133.0,83.85,15.28,464.25
312,2022-04-12,167.66,131.54,85.6,15.36,467.55
313,2022-04-13,170.4,127.3,86.81,15.51,469.19
314,2022-04-14,165.29,126.12,87.83,15.48,467.66
315,2022-04-18,165.07,128.46,88.55,15.67,467.44
316,2022-04-19,167.4,131.12,87.76,16.15,459.9
317,2022-04-20,167.23,131.58,87.96,16.05,453.87
318,2022-04-21,166.42,130.56,87.03,15.7,439.54
319,2022-04-22,161.79,126.81,85.13,15.13,445.79
